x1,x2,x3,x4,y
0,0,0.1,0.5,SEEK
0.1,0.5,0.2,0.2,READ
0.2,0.2,0.5,0.3,READ
0.5,0.3,0.5,0.3,WRITE
0.5,0.3,0.5,0.7,CLOSE
0.5,0.7,0.9,0.5,ED
0,0,0.1,0.5,READ
0.1,0.5,0.5,0.3,WRITE
0.5,0.3,0.5,0.7,READ
0.5,0.7,0.5,0.3,WRITE
0,0,0.1,0.5,WRITE
0.1,0.5,0.5,0.7,WRITE
0.5,0.7,0.5,0.7,WRITE
0.5,0.7,0.5,0.7,CLOSE
0.1,0.5,0.5,0.3,CLOSE
0.5,0.3,0.9,0.5,OPEN
0.9,0.5,0.1,0.5,WRITE
0.1,0.5,0.5,0.7,CLOSE
0,0,0.2,0.2,READ
0.2,0.2,0.5,0.3,WRITE
0.5,0.3,0.5,0.7,ED
0,0,0.1,0.5,EOF
0.1,0.5,0.5,0.5,READ
0.5,0.5,0.5,0.3,CLOSE
0.5,0.3,0.9,0.5,ED
0.2,0.2,0.5,0.3,SEEK
0.5,0.3,0.2,0.2,READ
0.2,0.2,0.5,0.3,CLOSE
0,0,0.5,0.5,READ
0.5,0.5,0.5,0.3,READ
0.1,0.5,0.2,0.2,ED
0.2,0.2,0.5,0.7,WRITE
0.5,0.3,0.5,0.7,SEEK
0.5,0.7,0.2,0.2,READ
